id,title,author,rating,reviews_count,genre,asin,ISBN10,image_url,url,,
31,Divergent / Insurgent,Veronica Roth,4.6,19489,"['Teen & Young Adult', 'Literature & Fiction']",62024043,9780000000000,"https://images-na.ssl-images-amazon.com/images/I/51h4JPR8ZIL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062024043,,
32,"Insurgent (Divergent Series, 2)",Veronica Roth,4.6,19489,"['Teen & Young Adult', 'Literature & Fiction']",62024051,62024051,"https://images-na.ssl-images-amazon.com/images/I/51xAOiKz4iL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062024051,,
33,Allegiant,Veronica Roth,3.9,22362,"['Teen & Young Adult', 'Literature & Fiction']",006202406X,006202406X,"https://images-na.ssl-images-amazon.com/images/I/51WKe9aGJIL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.com/dp/006202406X,,
34,"Allegiant (Divergent Series, 3)",Veronica Roth,3.9,22362,"['Teen & Young Adult', 'Literature & Fiction']",62024078,62024078,"https://images-na.ssl-images-amazon.com/images/I/51uKkJzieBL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062024078,,
35,The 48 Laws of Power,Robert Greene,4.7,33382,"['Politics & Social Sciences', 'Politics & Government']",140280197,140280197,"https://images-na.ssl-images-amazon.com/images/I/41KY-NORo9L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0140280197,,
36,The Hate U Give,Angie Thomas,4.8,21341,"['Teen & Young Adult', 'Literature & Fiction']",62498533,62498533,"https://images-na.ssl-images-amazon.com/images/I/417uKEjLwZL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062498533,,
37,Brave New World,Aldous Huxley,4.6,18262,"['Literature & Fiction', 'United States']",60850523,60850523,"https://images-na.ssl-images-amazon.com/images/I/41-n-3hZMeL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.com/dp/0060850523,,
38,The Dutch House: A Novel,Ann Patchett,4.4,26810,"['Literature & Fiction', 'Genre Fiction']",62963686,62963686,"https://images-na.ssl-images-amazon.com/images/I/515Jg9lLYaL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062963686,,
39,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Neil GaimanTerry Pratchett,4.7,14729,"['Literature & Fiction', 'Genre Fiction']",60853964,60853964,"https://images-na.ssl-images-amazon.com/images/I/51p8eaJSMhL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0060853964,,
40,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch (Cover may vary)",Neil GaimanTerry Pratchett,4.7,14729,"['Literature & Fiction', 'Genre Fiction']",60853980,60853980,"https://images-na.ssl-images-amazon.com/images/I/51FuLRqRQwL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0060853980,,
41,The Happy in a Hurry Cookbook: 100-Plus Fast and Easy New Recipes That Taste Like Home (The Happy Cookbook Series),Steve Doocy,4.6,15043,"['Cookbooks, Food & Wine', 'Cooking Education & Reference']",62968394,62968394,"https://images-na.ssl-images-amazon.com/images/I/51oNirCoKnL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062968394,,
42,"The Selection (The Selection, 1)",Kiera Cass,4.6,11072,"['Teen & Young Adult', 'Science Fiction & Fantasy']",62059947,62059947,"https://images-na.ssl-images-amazon.com/images/I/51S1EKvtBGL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062059947,,
43,The Song of Achilles,Madeline Miller,4.7,31125,"['Literature & Fiction', 'Genre Fiction']",62060619,62060619,"https://images-na.ssl-images-amazon.com/images/I/51IvdNGl8rL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062060619,,
44,The Song of Achilles: A Novel,Madeline Miller,4.7,31125,"['Literature & Fiction', 'Genre Fiction']",62060627,62060627,"https://images-na.ssl-images-amazon.com/images/I/514aE49swxL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062060627,,
45,Hatchet,Gary Paulsen,4.7,16012,"['Teen & Young Adult', 'Literature & Fiction']",014032724X,014032724X,"https://images-na.ssl-images-amazon.com/images/I/512YBXRZW0L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/014032724X,,
46,The Alchemist - Gift Edition,Paulo Coelho,4.7,64522,"['Reference', 'Writing, Research & Publishing Guides']",60887966,60887966,"https://images-na.ssl-images-amazon.com/images/I/41RV3UHnwsL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0060887966,,
47,"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,4.8,87406,"['Comics & Graphic Novels', 'Graphic Novels']",62976583,62976583,"https://images-na.ssl-images-amazon.com/images/I/418D9yYGB3L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062976583,,
48,The Last Anniversary: A Novel,Liane Moriarty,4.2,10102,"['Literature & Fiction', 'Dramas & Plays']",60890681,9780000000000,"https://images-na.ssl-images-amazon.com/images/I/41tHduyvl+L._SY344_BO1,204,203,200_.jpg",https://www.amazon.com/dp/0060890681,,
49,And Then There Were None (Agatha Christie Mysteries Collection (Paperback)),Agatha Christie,4.5,16752,"['Mystery, Thriller & Suspense', 'Thrillers & Suspense']",62073478,62073478,"https://images-na.ssl-images-amazon.com/images/I/51BuT4UsvNL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.com/dp/0062073478,,
50,And Then There Were None,Agatha Christie,4.5,16752,"['Mystery, Thriller & Suspense', 'Thrillers & Suspense']",62073486,62073486,"https://images-na.ssl-images-amazon.com/images/I/51MlxNgCsyL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062073486,,
51,The Secret Garden,Frances Hodgson Burnett,4.7,10041,"[""Children's Books"", 'Literature & Fiction']",62981951,62981951,"https://images-na.ssl-images-amazon.com/images/I/51o1GtZNZeL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062981951,,
52,"War Lord: A Novel (Saxon Tales, 13)",Bernard Cornwell,4.8,11275,"['Literature & Fiction', 'Genre Fiction']",62563297,62563297,"https://images-na.ssl-images-amazon.com/images/I/51xvgL3vcHL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062563297,,
53,To Kill a Mockingbird,Harper Lee,4.8,53270,"['Literature & Fiction', 'Genre Fiction']",60935464,60935464,"https://images-na.ssl-images-amazon.com/images/I/51IXWZzlgSL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0060935464,,
54,The Alice Network: A Novel,Kate Quinn,4.6,18709,"['Literature & Fiction', 'Genre Fiction']",62654195,62654195,"https://images-na.ssl-images-amazon.com/images/I/51zasKuYksL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062654195,,
55,The Last Mrs. Parrish: A Novel,Liv Constantine,4.4,12379,"['Mystery, Thriller & Suspense', 'Thrillers & Suspense']",62667580,62667580,"https://images-na.ssl-images-amazon.com/images/I/51J--Mv0jxL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062667580,,
56,Leave the World Behind: A Novel,Rumaan Alam,3.6,11464,"['Literature & Fiction', 'Genre Fiction']",62667645,62667645,"https://images-na.ssl-images-amazon.com/images/I/41YsBIU+l8S._SY344_BO1,204,203,200_.jpg",https://www.amazon.com/dp/0062667645,,
57,"Divergent 10th Anniversary Edition (Divergent Series, 1)",Veronica Roth,4.6,29549,"['Teen & Young Adult', 'Literature & Fiction']",63040514,63040514,"https://images-na.ssl-images-amazon.com/images/I/51vf+Zd6qxL._SY344_BO1,204,203,200_.jpg",https://www.amazon.com/dp/0063040514,,
58,"Insurgent Anniversary Edition (Divergent Series, 2)",Veronica Roth,4.6,19489,"['Teen & Young Adult', 'Literature & Fiction']",63040522,63040522,"https://images-na.ssl-images-amazon.com/images/I/510leyjEUiL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.com/dp/0063040522,,
59,"Allegiant Anniversary Edition (Divergent Series, 3)",Veronica Roth,3.9,22362,"['Teen & Young Adult', 'Literature & Fiction']",63040530,63040530,"https://images-na.ssl-images-amazon.com/images/I/51jTXHiYOML._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0063040530,,
60,Hillbilly Elegy [movie tie-in]: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.5,27096,"['Biographies & Memoirs', 'Historical']",63045982,63045982,"https://images-na.ssl-images-amazon.com/images/I/51aK9ixl7tL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0063045982,,
61,Finding Freedom: Harry and Meghan and the Making of a Modern Royal Family,Omid ScobieCarolyn Durand,4.2,12951,"['Biographies & Memoirs', 'Leaders & Notable People']",63046105,63046105,"https://images-na.ssl-images-amazon.com/images/I/41EOuDhySsL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0063046105,,
62,Finding Freedom: Harry and Meghan,Omid ScobieCarolyn Durand,4.2,12951,"['Biographies & Memoirs', 'Leaders & Notable People']",63046113,63046113,"https://images-na.ssl-images-amazon.com/images/I/41XlJlEmxhS._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.com/dp/0063046113,,
63,The Woman in the Window: A Novel,A. J Finn,4.4,33470,"['Mystery, Thriller & Suspense', 'Thrillers & Suspense']",62678426,62678426,"https://images-na.ssl-images-amazon.com/images/I/51Q0ZA4gmBL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062678426,,
64,Charlotte's Web,E. B WhiteGarth Williams,4.8,17487,"[""Children's Books"", 'Animals']",61124958,6112495,"https://images-na.ssl-images-amazon.com/images/I/61+3z1o4oUL._SY344_BO1,204,203,200_.jpg",https://www.amazon.com/dp/0061124958,,
65,Corduroy,Don Freeman,4.9,12752,"[""Children's Books"", 'Animals']",140501738,140501738,"https://images-na.ssl-images-amazon.com/images/I/51sIORH4JqL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0140501738,,
66,The Hating Game,Sally Thorne,4.5,14801,"['Humor & Entertainment', 'Humor']",63063530,63063530,"https://images-na.ssl-images-amazon.com/images/I/51PYLBJfDkL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0063063530,,
67,Brave New World,Aldous Huxley,4.6,18262,"['Literature & Fiction', 'United States']",62696122,62696122,"https://images-na.ssl-images-amazon.com/images/I/51K6hPJ0buL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062696122,,
68,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Neil GaimanTerry Pratchett,4.7,14729,"['Literature & Fiction', 'Genre Fiction']",62697250,62697250,"https://images-na.ssl-images-amazon.com/images/I/51YxR2RGvbL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062697250,,
69,Bridgerton [TV Tie-in] (Bridgertons Book 1),Julia Quinn,4.6,32433,"['Literature & Fiction', ""Women's Fiction""]",63078902,63078902,"https://images-na.ssl-images-amazon.com/images/I/513yHCCzv5L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0063078902,,
70,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Chris KyleScott McEwenJim DeFelice,4.6,18487,"['Biographies & Memoirs', 'Leaders & Notable People']",62238868,62238868,"https://images-na.ssl-images-amazon.com/images/I/51xvbhi2FaL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062238868,,
71,The Last Mrs. Parrish: A Novel,Liv Constantine,4.4,12379,"['Mystery, Thriller & Suspense', 'Thrillers & Suspense']",63111306,63111306,"https://images-na.ssl-images-amazon.com/images/I/51WcJ-9vXvL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0063111306,,
72,"The Viscount Who Loved Me: Bridgerton (Bridgertons, 2)",Julia Quinn,4.6,24901,"['Literature & Fiction', ""Women's Fiction""]",006313862X,006313862X,"https://images-na.ssl-images-amazon.com/images/I/51DcgMYEeWL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/006313862X,,
73,"Offer from a Gentleman, An: Bridgerton (Bridgertons, 3)",Julia Quinn,4.6,17372,"['Literature & Fiction', ""Women's Fiction""]",63138646,63138646,"https://images-na.ssl-images-amazon.com/images/I/51fXh9AYuEL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.com/dp/0063138646,,
74,"Romancing Mister Bridgerton: Bridgerton (Bridgertons, 4)",Julia Quinn,4.6,21038,"['Literature & Fiction', ""Women's Fiction""]",63141248,63141248,"https://images-na.ssl-images-amazon.com/images/I/51JAI9LXHoL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0063141248,,
75,"To Sir Phillip, With Love: Bridgerton (Bridgertons, 5)",Julia Quinn,4.6,15975,"['Literature & Fiction', ""Women's Fiction""]",63141256,63141256,"https://images-na.ssl-images-amazon.com/images/I/51qJJ-KyG-L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0063141256,,
76,"When He Was Wicked: Bridgerton (Bridgertons, 6)",Julia Quinn,4.6,14459,"['Literature & Fiction', ""Women's Fiction""]",63141280,63141280,"https://images-na.ssl-images-amazon.com/images/I/51AfDNUuqBL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0063141280,,
77,"It's in His Kiss: Bridgerton (Bridgertons, 7)",Julia Quinn,4.6,12470,"['Literature & Fiction', ""Women's Fiction""]",63141299,63141299,"https://images-na.ssl-images-amazon.com/images/I/51TV1a8TvpL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0063141299,,
78,"On the Way to the Wedding: Bridgerton (Bridgertons, 8)",Julia Quinn,4.6,11480,"['Romance', 'Historical']",63141302,63141302,"https://images-na.ssl-images-amazon.com/images/I/515Vu3mz+TL._SY344_BO1,204,203,200_.jpg",https://www.amazon.com/dp/0063141302,,
