id,title,author,rating,reviews_count,genre,asin,ISBN10,image_url,url,,,,,,,,,,,,,,,,,,,,,,,
45,Hatchet,Gary Paulsen,4.7 out of 5 stars,16012,"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]",014032724X,014032724X,"https://images-na.ssl-images-amazon.com/images/I/512YBXRZW0L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/014032724X,,,,,,,,,,,,,,,,,,,,,,,
46,The Alchemist - Gift Edition,Paulo Coelho,4.7 out of 5 stars,64522,"[""Books"",""Reference"",""Writing, Research & Publishing Guides""]",0060887966,0060887966,"https://images-na.ssl-images-amazon.com/images/I/41RV3UHnwsL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0060887966,,,,,,,,,,,,,,,,,,,,,,,
47,"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,4.8 out of 5 stars,87406,"[""Books"",""Comics & Graphic Novels"",""Graphic Novels""]",0062976583,0062976583,"https://images-na.ssl-images-amazon.com/images/I/418D9yYGB3L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062976583,,,,,,,,,,,,,,,,,,,,,,,
48,The Last Anniversary: A Novel,Liane Moriarty,4.2 out of 5 stars,10102,"[""Books"",""Literature & Fiction"",""Dramas & Plays""]",0060890681,9.78006E+12,"https://images-na.ssl-images-amazon.com/images/I/41tHduyvl+L._SY344_BO1,204,203,200_.jpg",https://www.amazon.com/dp/0060890681,,,,,,,,,,,,,,,,,,,,,,,
49,And Then There Were None (Agatha Christie Mysteries Collection (Paperback)),Agatha Christie,4.5 out of 5 stars,16752,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",0062073478,0062073478,"https://images-na.ssl-images-amazon.com/images/I/51BuT4UsvNL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.com/dp/0062073478,,,,,,,,,,,,,,,,,,,,,,,
50,And Then There Were None,Agatha Christie,4.5 out of 5 stars,16752,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",0062073486,0062073486,"https://images-na.ssl-images-amazon.com/images/I/51MlxNgCsyL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062073486,,,,,,,,,,,,,,,,,,,,,,,
51,The Secret Garden,Frances Hodgson Burnett,4.7 out of 5 stars,10041,"[""Books"",""Children's Books"",""Literature & Fiction""]",0062981951,0062981951,"https://images-na.ssl-images-amazon.com/images/I/51o1GtZNZeL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062981951,,,,,,,,,,,,,,,,,,,,,,,
52,"War Lord: A Novel (Saxon Tales, 13)",Bernard Cornwell,4.8 out of 5 stars,11275,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",0062563297,0062563297,"https://images-na.ssl-images-amazon.com/images/I/51xvgL3vcHL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062563297,,,,,,,,,,,,,,,,,,,,,,,
53,To Kill a Mockingbird,Harper Lee,4.8 out of 5 stars,53270,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",0060935464,0060935464,"https://images-na.ssl-images-amazon.com/images/I/51IXWZzlgSL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0060935464,,,,,,,,,,,,,,,,,,,,,,,
54,The Alice Network: A Novel,Kate Quinn,4.6 out of 5 stars,18709,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",0062654195,0062654195,"https://images-na.ssl-images-amazon.com/images/I/51zasKuYksL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062654195,,,,,,,,,,,,,,,,,,,,,,,
55,The Last Mrs. Parrish: A Novel,Liv Constantine,4.4 out of 5 stars,12379,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]",0062667580,0062667580,"https://images-na.ssl-images-amazon.com/images/I/51J--Mv0jxL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0062667580,,,,,,,,,,,,,,,,,,,,,,,
56,Leave the World Behind: A Novel,Rumaan Alam,3.6 out of 5 stars,11464,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",0062667645,0062667645,"https://images-na.ssl-images-amazon.com/images/I/41YsBIU+l8S._SY344_BO1,204,203,200_.jpg",https://www.amazon.com/dp/0062667645,,,,,,,,,,,,,,,,,,,,,,,
57,"Divergent 10th Anniversary Edition (Divergent Series, 1)",Veronica Roth,4.6 out of 5 stars,29549,"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]",0063040514,0063040514,"https://images-na.ssl-images-amazon.com/images/I/51vf+Zd6qxL._SY344_BO1,204,203,200_.jpg",https://www.amazon.com/dp/0063040514,,,,,,,,,,,,,,,,,,,,,,,
58,"Insurgent Anniversary Edition (Divergent Series, 2)",Veronica Roth,4.6 out of 5 stars,19489,"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]",0063040522,0063040522,"https://images-na.ssl-images-amazon.com/images/I/510leyjEUiL._SY291_BO1,204,203,200_QL40_ML2_.jpg",https://www.amazon.com/dp/0063040522,,,,,,,,,,,,,,,,,,,,,,,
59,"Allegiant Anniversary Edition (Divergent Series, 3)",Veronica Roth,3.9 out of 5 stars,22362,"[""Books"",""Teen & Young Adult"",""Literature & Fiction""]",0063040530,0063040530,"https://images-na.ssl-images-amazon.com/images/I/51jTXHiYOML._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0063040530,,,,,,,,,,,,,,,,,,,,,,,
60,Hillbilly Elegy [movie tie-in]: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.5 out of 5 stars,27096,"[""Books"",""Biographies & Memoirs"",""Historical""]",0063045982,0063045982,"https://images-na.ssl-images-amazon.com/images/I/51aK9ixl7tL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg",https://www.amazon.com/dp/0063045982,,,,,,,,,,,,,,,,,,,,,,,
